,surface,tournament_level,best_of_sets,A_hand,A_has_seed,B_hand,B_has_seed,elo_diff,rank_diff,rank_points_diff,rolling_serve_win_ratio_diff,surface_win_ratio_diff,age_diff,height_cm_diff
102,1,3,3,1,0,1,0,-17.633911476007825,24.0,-651.0,0.0,-0.33333333333333337,8.8,-8.0
103,1,3,3,1,0,0,0,40.35593895327315,-8.0,310.0,0.0,0.33333333333333337,-6.0,15.0
104,1,3,3,1,0,1,0,77.49016263713361,-8.0,3580.0,0.0,0.6666666666666667,-3.400000000000002,28.0
105,1,3,3,1,0,1,0,35.540697323126096,13.0,-385.0,0.0,0.3333333333333333,10.100000000000001,-10.0
106,1,3,3,1,0,0,0,38.96955839359498,-12.0,7005.0,0.0,0.33333333333333337,11.900000000000002,3.0
107,1,3,3,1,0,1,0,17.027164875861672,-19.0,960.0,0.0,0.0,7.099999999999998,-10.0
108,1,3,3,0,0,1,0,16.736449874098298,-17.0,8210.0,0.0,0.08333333333333337,12.7,2.0
109,1,3,3,1,0,1,0,-42.07879118524147,17.0,-589.0,0.0,-0.25,5.899999999999999,-15.0
110,1,3,3,1,0,1,0,3.5094281882791165,-3.0,3350.0,0.0,0.0,8.700000000000003,-10.0
111,1,3,3,1,0,1,0,38.7222354229948,-24.0,1084.0,0.048486210930236195,0.19999999999999996,2.1999999999999993,0.0
112,1,3,3,1,0,0,0,41.840084350974394,1.0,-930.0,-0.007820794026379363,0.19999999999999996,-0.8999999999999986,3.0
113,1,3,3,1,0,1,0,0.0,88.0,-531.0,0.0,0.0,-1.1999999999999993,8.0
114,1,3,3,0,0,1,0,-16.622867494824277,11.0,-179.0,0.0,-0.13836836659479934,0.5,5.0
115,1,3,3,1,0,1,0,-20.0,-24.0,132.0,0.0,-0.5282983000718673,-5.400000000000002,-3.0
116,1,3,3,1,0,1,0,-20.0,9.694268003367256,-1010.6007882451979,0.0,-0.5282983000718673,-3.8000000000000043,-3.0
117,1,3,3,1,0,1,0,-20.0,-16.0,173.0,0.0,-0.5282983000718673,4.399999999999999,5.0
118,1,3,3,1,0,0,1,20.0,41.0,-475.0,0.0,0.5282983000718673,4.299999999999997,10.0
119,1,3,3,1,1,1,0,21.081783633722125,-55.0,927.0,0.0,0.13836836659479934,12.200000000000003,5.0
120,1,3,3,0,0,0,0,2.2146675437365957,24.0,-269.0,0.0,0.02829830007186729,1.3000000000000007,-5.0
121,1,3,3,1,0,1,0,38.84997744430916,-180.0,864.0,0.0,0.4717016999281327,8.5,-5.0
122,1,3,3,1,1,1,0,76.62286749482428,-18.0,328.0,0.0,1.0,-1.7000000000000028,5.0
123,1,3,3,1,0,1,0,0.0,28.0,-365.0,0.0,0.0,-0.5999999999999979,-5.0
124,1,3,3,0,0,1,0,20.0,-2.0,21.0,0.0,0.5282983000718673,4.399999999999999,8.0
125,1,3,3,0,1,1,0,-18.850120536492568,-133.0,1840.0,0.0,-0.5,-8.8,-8.0
126,1,3,3,0,0,1,0,19.806137148786092,-19.0,210.0,0.0,0.5,-5.699999999999999,3.0
127,1,3,3,1,1,1,0,-57.543250153442614,-81.0,1217.0,0.0,-0.5,6.300000000000004,20.0
128,1,3,3,1,0,1,0,-17.699954888618322,-15.0,164.0,0.0,-0.5,-10.799999999999997,-2.0
129,1,3,3,1,1,0,0,19.997190598614225,-62.0,982.0,0.0,-0.25,5.0,13.0
130,1,3,3,1,0,1,1,4.474262901681868,31.0,-924.0,-0.057562892285154654,0.19999999999999996,6.899999999999999,-15.0
131,1,3,3,1,1,1,0,72.2822453989711,-43.0,633.0,0.0,0.5,1.5999999999999979,13.0
